year,rank,title,artist
2010,1,"""Tik Tok""",Kesha
2010,2,"""Need You Now""",Lady Antebellum
2010,3,"""Hey, Soul Sister""",Train
2010,4,"""California Gurls""",Katy Perry featuring Snoop Dogg
2010,5,"""OMG""",Usher featuring will.i.am
2010,6,"""Airplanes""",B.o.B featuring Hayley Williams
2010,7,"""Love the Way You Lie""",Eminem featuring Rihanna
2010,8,"""Bad Romance""",Lady Gaga
2010,9,"""Dynamite""",Taio Cruz
2010,10,"""Break Your Heart""",Taio Cruz featuring Ludacris
2010,11,"""Nothin' on You""",B.o.B featuring Bruno Mars
2010,12,"""I Like It""",Enrique Iglesias featuring Pitbull
2010,13,"""BedRock""",Young Money featuring Lloyd
2010,14,"""In My Head""",Jason Derulo
2010,15,"""Rude Boy""",Rihanna
2010,16,"""Telephone""",Lady Gaga featuring Beyoncé
2010,17,"""Teenage Dream""",Katy Perry
2010,18,"""Just the Way You Are""",Bruno Mars
2010,19,"""Cooler Than Me""",Mike Posner
2010,20,"""Imma Be""",The Black Eyed Peas
2010,21,"""Empire State of Mind""",Jay-Z featuring Alicia Keys
2010,22,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull
2010,23,"""Billionaire""",Travie McCoy featuring Bruno Mars
2010,24,"""Not Afraid""",Eminem
2010,25,"""Replay""",Iyaz
2010,26,"""Sexy Bitch""",David Guetta featuring Akon
2010,27,"""Breakeven""",The Script
2010,28,"""Your Love Is My Drug""",Kesha
2010,29,"""I Gotta Feeling""",The Black Eyed Peas
2010,30,"""Fireflies""",Owl City
2010,31,"""Say Aah""",Trey Songz featuring Fabolous
2010,32,"""Find Your Love""",Drake
2010,33,"""Alejandro""",Lady Gaga
2010,34,"""Ridin' Solo""",Jason Derulo
2010,35,"""Just a Dream""",Nelly
2010,36,"""How Low""",Ludacris
2010,37,"""Like a G6""",Far East Movement featuring The Cataracs and Dev
2010,38,"""Carry Out""",Timbaland featuring Justin Timberlake
2010,39,"""Haven't Met You Yet""",Michael Bublé
2010,40,"""Club Can't Handle Me""",Flo Rida featuring David Guetta
2010,41,"""Down""",Jay Sean featuring Lil Wayne
2010,42,"""Bulletproof""",La Roux
2010,43,"""Whatcha Say""",Jason Derulo
2010,44,"""Baby""",Justin Bieber featuring Ludacris
2010,45,"""Whataya Want from Me""",Adam Lambert
2010,46,"""Mine""",Taylor Swift
2010,47,"""Only Girl (In the World)""",Rihanna
2010,48,"""Live Like We're Dying""",Kris Allen
2010,49,"""Hard""",Rihanna featuring Jeezy
2010,50,"""Young Forever""",Jay-Z featuring Mr Hudson
2010,51,"""Blah Blah Blah""",Kesha featuring 3OH!3
2010,52,"""Bottoms Up""",Trey Songz featuring Nicki Minaj
2010,53,"""Do You Remember""",Jay Sean featuring Sean Paul and Lil Jon
2010,54,"""All the Right Moves""",OneRepublic
2010,55,"""According to You""",Orianthi
2010,56,"""My Chick Bad""",Ludacris featuring Nicki Minaj
2010,57,"""You Belong with Me""",Taylor Swift
2010,58,"""Meet Me Halfway""",The Black Eyed Peas
2010,59,"""Take It Off""",Kesha
2010,60,"""Over""",Drake
2010,61,"""Animal""",Neon Trees
2010,62,"""Misery""",Maroon 5
2010,63,"""Magic""",B.o.B featuring Rivers Cuomo
2010,64,"""Paparazzi""",Lady Gaga
2010,65,"""Tie Me Down""",New Boyz featuring Ray J
2010,66,"""Your Love""",Nicki Minaj
2010,67,"""Party in the U.S.A.""",Miley Cyrus
2010,68,"""Deuces""",Chris Brown featuring Tyga and Kevin McCall
2010,69,"""3""",Britney Spears
2010,70,"""Impossible""",Shontelle
2010,71,"""Forever""","Drake featuring Kanye West, Lil Wayne and Eminem"
2010,72,"""Two Is Better Than One""",Boys Like Girls featuring Taylor Swift
2010,73,"""My First Kiss""",3OH!3 featuring Kesha
2010,74,"""Already Gone""",Kelly Clarkson
2010,75,"""Rock That Body""",The Black Eyed Peas
2010,76,"""Secrets""",OneRepublic
2010,77,"""Naturally""",Selena Gomez & the Scene
2010,78,"""Un-Thinkable (I'm Ready)""",Alicia Keys
2010,79,"""All I Do Is Win""","DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross"
2010,80,"""I Made It (Cash Money Heroes)""","Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne"
2010,81,"""Stuck Like Glue""",Sugarland
2010,82,"""Hey Daddy (Daddy's Home)""",Usher featuring Plies
2010,83,"""There Goes My Baby""",Usher
2010,84,"""Today Was a Fairytale""",Taylor Swift
2010,85,"""Say Something""",Timbaland featuring Drake
2010,86,"""Sweet Dreams""",Beyoncé
2010,87,"""Use Somebody""",Kings of Leon
2010,88,"""Undo It""",Carrie Underwood
2010,89,"""Eenie Meenie""",Sean Kingston and Justin Bieber
2010,90,"""Right Above It""",Lil Wayne featuring Drake
2010,91,"""The House That Built Me""",Miranda Lambert
2010,92,"""If I Die Young""",The Band Perry
2010,93,"""The Only Exception""",Paramore
2010,94,"""American Honey""",Lady Antebellum
2010,95,"""King of Anything""",Sara Bareilles
2010,96,"""Life After You""",Daughtry
2010,97,"""Smile""",Uncle Kracker
2010,98,"""Teach Me How to Dougie""",Cali Swag District
2010,99,"""Try Sleeping with a Broken Heart""",Alicia Keys
2010,100,"""Lover, Lover""",Jerrod Niemann
2011,1,"""Rolling in the Deep""",Adele
2011,2,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock
2011,3,"""Firework""",Katy Perry
2011,4,"""E.T.""",Katy Perry featuring Kanye West
2011,5,"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer"
2011,6,"""Grenade""",Bruno Mars
2011,7,"""Fuck You (Forget You)""",CeeLo Green
2011,8,"""Super Bass""",Nicki Minaj
2011,9,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera
2011,10,"""Just Can't Get Enough""",The Black Eyed Peas
2011,11,"""On the Floor""",Jennifer Lopez featuring Pitbull
2011,12,"""S&M""",Rihanna
2011,13,"""Pumped Up Kicks""",Foster the People
2011,14,"""Last Friday Night (T.G.I.F.)""",Katy Perry
2011,15,"""Just the Way You Are""",Bruno Mars
2011,16,"""Tonight (I'm Lovin' You)""",Enrique Iglesias featuring Ludacris and DJ Frank E
2011,17,"""Raise Your Glass""",Pink
2011,18,"""Born This Way""",Lady Gaga
2011,19,"""Fuckin' Perfect""",Pink
2011,20,"""What's My Name?""",Rihanna featuring Drake
2011,21,"""Look at Me Now""",Chris Brown featuring Lil Wayne and Busta Rhymes
2011,22,"""Down on Me""",Jeremih featuring 50 Cent
2011,23,"""How to Love""",Lil Wayne
2011,24,"""Someone Like You""",Adele
2011,25,"""Good Life""",OneRepublic
2011,26,"""The Lazy Song""",Bruno Mars
2011,27,"""Till the World Ends""",Britney Spears
2011,28,"""The Show Goes On""",Lupe Fiasco
2011,29,"""The Edge of Glory""",Lady Gaga
2011,30,"""We R Who We R""",Kesha
2011,31,"""Black and Yellow""",Wiz Khalifa
2011,32,"""Tonight Tonight""",Hot Chelle Rae
2011,33,"""Blow""",Kesha
2011,34,"""Lighters""",Bad Meets Evil featuring Bruno Mars
2011,35,"""If I Die Young""",The Band Perry
2011,36,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine
2011,37,"""The Time (Dirty Bit)""",The Black Eyed Peas
2011,38,"""Coming Home""",Diddy – Dirty Money featuring Skylar Grey
2011,39,"""Hey Baby (Drop It to the Floor)""",Pitbull featuring T-Pain
2011,40,"""Only Girl (In the World)""",Rihanna
2011,41,"""6 Foot 7 Foot""",Lil Wayne featuring Cory Gunz
2011,42,"""Just a Kiss""",Lady Antebellum
2011,43,"""Dirt Road Anthem""",Jason Aldean
2011,44,"""Dynamite""",Taio Cruz
2011,45,"""No Hands""",Waka Flocka Flame featuring Wale and Roscoe Dash
2011,46,"""I Wanna Go""",Britney Spears
2011,47,"""I'm on One""","DJ Khaled featuring Drake, Rick Ross and Lil Wayne"
2011,48,"""You Make Me Feel...""",Cobra Starship featuring Sabi
2011,49,"""Yeah 3x""",Chris Brown
2011,50,"""Moment 4 Life""",Nicki Minaj featuring Drake
2011,51,"""I Need a Doctor""",Dr. Dre featuring Eminem and Skylar Grey
2011,52,"""Just a Dream""",Nelly
2011,53,"""Motivation""",Kelly Rowland featuring Lil Wayne
2011,54,"""Stereo Love""",Edward Maya featuring Vika Jigulina
2011,55,"""Jar of Hearts""",Christina Perri
2011,56,"""Roll Up""",Wiz Khalifa
2011,57,"""Sexy and I Know It""",LMFAO
2011,58,"""Rocketeer""",Far East Movement featuring Ryan Tedder
2011,59,"""All of the Lights""",Kanye West
2011,60,"""Hold It Against Me""",Britney Spears
2011,61,"""More""",Usher
2011,62,"""What the Hell""",Avril Lavigne
2011,63,"""Written in the Stars""",Tinie Tempah featuring Eric Turner
2011,64,"""Bottoms Up""",Trey Songz featuring Nicki Minaj
2011,65,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull
2011,66,"""For the First Time""",The Script
2011,67,"""Honey Bee""",Blake Shelton
2011,68,"""Don't You Wanna Stay""",Jason Aldean featuring Kelly Clarkson
2011,69,"""We Found Love""",Rihanna featuring Calvin Harris
2011,70,"""Pretty Girl Rock""",Keri Hilson
2011,71,"""Yoü and I""",Lady Gaga
2011,72,"""Like a G6""",Far East Movement featuring The Cataracs and Dev
2011,73,"""Without You""",David Guetta featuring Usher
2011,74,"""Back to December""",Taylor Swift
2011,75,"""Teenage Dream""",Katy Perry
2011,76,"""Crazy Girl""",Eli Young Band
2011,77,"""Cheers (Drink to That)""",Rihanna
2011,78,"""Who Says""",Selena Gomez & the Scene
2011,79,"""Barefoot Blue Jean Night""",Jake Owen
2011,80,"""Knee Deep""",Zac Brown Band featuring Jimmy Buffett
2011,81,"""Country Girl (Shake It for Me)""",Luke Bryan
2011,82,"""Remind Me""",Brad Paisley and Carrie Underwood
2011,83,"""In the Dark""",Dev
2011,84,"""Backseat""",New Boyz featuring The Cataracs and Dev
2011,85,"""Headlines""",Drake
2011,86,"""Best Thing I Never Had""",Beyoncé
2011,87,"""Don't Wanna Go Home""",Jason Derulo
2011,88,"""Where Them Girls At""",David Guetta featuring Flo Rida and Nicki Minaj
2011,89,"""She Ain't You""",Chris Brown
2011,90,"""Take a Back Road""",Rodney Atkins
2011,91,"""Please Don't Go""",Mike Posner
2011,92,"""Sure Thing""",Miguel
2011,93,"""Price Tag""",Jessie J featuring B.o.B
2011,94,"""God Gave Me You""",Blake Shelton
2011,95,"""She Will""",Lil Wayne featuring Drake
2011,96,"""Are You Gonna Kiss Me or Not""",Thompson Square
2011,97,"""Animal""",Neon Trees
2011,98,"""You and Tequila""",Kenny Chesney featuring Grace Potter
2011,99,"""Colder Weather""",Zac Brown Band
2011,100,"""My Last""",Big Sean featuring Chris Brown
2012,1,"""Somebody That I Used to Know""",Gotye featuring Kimbra
2012,2,"""Call Me Maybe""",Carly Rae Jepsen
2012,3,"""We Are Young""",Fun featuring Janelle Monáe
2012,4,"""Payphone""",Maroon 5 featuring Wiz Khalifa
2012,5,"""Lights""",Ellie Goulding
2012,6,"""Glad You Came""",The Wanted
2012,7,"""Stronger (What Doesn't Kill You)""",Kelly Clarkson
2012,8,"""We Found Love""",Rihanna featuring Calvin Harris
2012,9,"""Starships""",Nicki Minaj
2012,10,"""What Makes You Beautiful""",One Direction
2012,11,"""Wild Ones""",Flo Rida featuring Sia
2012,12,"""Set Fire to the Rain""",Adele
2012,13,"""Sexy and I Know It""",LMFAO
2012,14,"""Some Nights""",Fun
2012,15,"""Wide Awake""",Katy Perry
2012,16,"""Good Feeling""",Flo Rida
2012,17,"""Whistle""",Flo Rida
2012,18,"""One More Night""",Maroon 5
2012,19,"""Drive By""",Train
2012,20,"""The Motto""",Drake featuring Lil Wayne
2012,21,"""Where Have You Been""",Rihanna
2012,22,"""Everybody Talks""",Neon Trees
2012,23,"""Take Care""",Drake featuring Rihanna
2012,24,"""Titanium""",David Guetta featuring Sia
2012,25,"""I Won't Give Up""",Jason Mraz
2012,26,"""It Will Rain""",Bruno Mars
2012,27,"""Mercy""","Kanye West, Big Sean, Pusha T and 2 Chainz"
2012,28,"""Boyfriend""",Justin Bieber
2012,29,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock
2012,30,"""Too Close""",Alex Clare
2012,31,"""Part of Me""",Katy Perry
2012,32,"""Young, Wild & Free""",Snoop Dogg and Wiz Khalifa featuring Bruno Mars
2012,33,"""We Are Never Ever Getting Back Together""",Taylor Swift
2012,34,"""As Long as You Love Me""",Justin Bieber featuring Big Sean
2012,35,"""Turn Me On""",David Guetta featuring Nicki Minaj
2012,36,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera
2012,37,"""Blow Me (One Last Kiss)""",Pink
2012,38,"""Good Time""",Owl City and Carly Rae Jepsen
2012,39,"""Give Your Heart a Break""",Demi Lovato
