year,rank,title,artist,title_clean,artist_clean,primary_artist,spotify_id,spotify_title,spotify_artist,spotify_album,album_type,release_date,release_date_precision,popularity,explicit,duration_ms,disc_number,track_number,isrc,spotify_url,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,audio_features_available
2010,1,"""Tik Tok""",Kesha,tik tok,kesha,kesha,0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,Animal (Expanded Edition),album,2010-01-01,day,87,False,199693,1,2,USRC10900433,https://open.spotify.com/track/0HPD5WQqrq7wPWR7P7Dw1i,,,,,,,,,,,,,,False
2010,2,"""Need You Now""",Lady Antebellum,need you now,lady antebellum,lady antebellum,11EX5yhxr9Ihl3IN1asrfK,Need You Now,Lady A,Need You Now,album,2010-01-01,day,78,False,277573,1,1,USCN10900696,https://open.spotify.com/track/11EX5yhxr9Ihl3IN1asrfK,,,,,,,,,,,,,,False
2010,3,"""Hey, Soul Sister""",Train,"hey, soul sister",train,train,4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",Train,"Save Me, San Francisco (Golden Gate Edition)",album,2010-12-01,day,85,False,216773,1,2,USSM10904113,https://open.spotify.com/track/4HlFJV71xXKIGcU3kRyttv,,,,,,,,,,,,,,False
2010,4,"""California Gurls""",Katy Perry featuring Snoop Dogg,california gurls,katy perry featuring snoop dogg,katy perry,6KOEK6SeCEZOQkLj5M1PxH,California Gurls,"Katy Perry, Snoop Dogg",Teenage Dream,album,2010-01-01,day,78,False,234653,1,3,USCA21001135,https://open.spotify.com/track/6KOEK6SeCEZOQkLj5M1PxH,,,,,,,,,,,,,,False
2010,5,"""OMG""",Usher featuring will.i.am,omg,usher featuring will.i.am,usher,1hfrrCNvfC84gKEtxCKWxU,OMG - Instrumental Version,USHER,OMG Remix EP,single,2010-06-05,day,16,False,269040,1,6,USLF21000033,https://open.spotify.com/track/1hfrrCNvfC84gKEtxCKWxU,,,,,,,,,,,,,,False
2010,6,"""Airplanes""",B.o.B featuring Hayley Williams,airplanes,b.o.b featuring hayley williams,b.o.b,6lV2MSQmRIkycDScNtrBXO,Airplanes (feat. Hayley Williams of Paramore),"B.o.B, Hayley Williams",B.o.B Presents: The Adventures of Bobby Ray,album,2010-04-27,day,82,True,180480,1,4,USAT21000477,https://open.spotify.com/track/6lV2MSQmRIkycDScNtrBXO,,,,,,,,,,,,,,False
2010,7,"""Love the Way You Lie""",Eminem featuring Rihanna,love the way you lie,eminem featuring rihanna,eminem,15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,"Eminem, Rihanna",Recovery,album,2010-06-18,day,89,True,263373,1,15,USUM71015397,https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED,,,,,,,,,,,,,,False
2010,8,"""Bad Romance""",Lady Gaga,bad romance,lady gaga,lady gaga,1IJdQjHdoEys7RbL7VVsg2,Bad Romance - DJ Paulo’s Gaga Oh La-La Remix,Lady Gaga,Telephone (The DJ Remixes),single,2010-01-26,day,10,False,580800,1,9,USUM71004565,https://open.spotify.com/track/1IJdQjHdoEys7RbL7VVsg2,,,,,,,,,,,,,,False
2010,9,"""Dynamite""",Taio Cruz,dynamite,taio cruz,taio cruz,2CEgGE6aESpnmtfiZwYlbV,Dynamite,Taio Cruz,The Rokstarr Hits Collection,compilation,2010-01-01,day,77,False,202613,1,1,GBUM71003721,https://open.spotify.com/track/2CEgGE6aESpnmtfiZwYlbV,,,,,,,,,,,,,,False
2010,10,"""Break Your Heart""",Taio Cruz featuring Ludacris,break your heart,taio cruz featuring ludacris,taio cruz,7ElF5zxOwYP4qVSWVvse3W,Break Your Heart,Taio Cruz,The Rokstarr Hits Collection,compilation,2010-01-01,day,72,False,201546,1,2,GBUM70908662,https://open.spotify.com/track/7ElF5zxOwYP4qVSWVvse3W,,,,,,,,,,,,,,False
2010,11,"""Nothin' on You""",B.o.B featuring Bruno Mars,nothin' on you,b.o.b featuring bruno mars,b.o.b,59dLtGBS26x7kc0rHbaPrq,Nothin' on You (feat. Bruno Mars),"B.o.B, Bruno Mars",B.o.B Presents: The Adventures of Bobby Ray,album,2010-04-27,day,88,False,268320,1,2,USAT20904033,https://open.spotify.com/track/59dLtGBS26x7kc0rHbaPrq,,,,,,,,,,,,,,False
